Location,Pressure,Temp,Dew,Humidity,cloud_cover,windspeed,Visibility,SolarRadiation,UV_index,Precip_amount
"Delhi,India",1007.5,32.6,25.5,77,60,21,24.1,231.9,8,3.7
"Delhi,India",1005.5,34,25,74,67,27.3,24.1,246,9,0
"Delhi,India",1004.2,33.5,25.5,79,83,19.6,24.1,261.2,9,0.09
"Delhi,India",1004.3,31.5,25.2,75,56,10.3,24.1,275.3,9,0
"Delhi,India",1003.6,31.6,25.8,79,80,16.3,24.1,257.3,9,0.2
"Delhi,India",1003.1,31.3,24.4,81,88,10.1,24.1,277,9,17.2
"Delhi,India",1002.3,31.7,24.2,84,87,4.5,24.1,258.3,8,7.6
"Delhi,India",1001.2,32.4,25.2,82,75,7.1,24.1,252,8,57.6
"Delhi,India",1001.8,33.4,24.3,81,80,26,24.1,241.6,8,0.09
"Delhi,India",1001.7,32,24.3,79,82,21.4,23,251.5,9,0.09
"Delhi,India",1001.9,31.9,24,78,85,28.1,24.1,280.8,9,0.09
"Delhi,India",1002.1,33.4,22.2,68,59,30.8,24.1,285.3,9,0
"Delhi,India",1002.6,33.7,19.4,58,46,32.1,24.1,290.9,9,0
"Delhi,India",1003.1,34.1,20.7,59,75,19.6,24.1,280.9,9,0.09
"Delhi,India",1001.9,34.5,24.1,80,87,16.7,24.1,209.8,7,9.9
"Chennai,India",1007.9,28.5,26.2,83,82,22.8,24.1,319,10,10.6
"Chennai,India",1009.3,29,25.8,81,81,22.9,24.1,316.7,10,5.4
"Chennai,India",1010.2,28.8,25.1,76,68,19.8,24.1,319.1,10,0.09
"Chennai,India",1008.9,29.1,25.2,76,59,19.9,24.1,320.8,10,0
"Chennai,India",1007.3,29.5,25.2,79,77,24.4,24.1,330.9,10,0
"Chennai,India",1007.7,30,25.3,78,78,10.8,24.1,315,10,0.8
"Chennai,India",1009,30.3,25.4,78,65,20.3,24.1,314.1,10,0.09
"Chennai,India",1008.1,30.1,25.4,77,73,20.9,24.1,313.6,10,1.6
"Chennai,India",1007.2,30.1,25.5,77,72,22.6,24.1,314,10,0.09
"Chennai,India",1007.3,30,26.1,80,83,22,24.1,307.6,10,8.1
"Chennai,India",1008.2,30,26.1,78,79,22.6,24.1,313.6,10,0.8
"Chennai,India",1008.5,30,26,85,79,15.2,24.1,317.6,10,96.8
"Chennai,India",1007.9,29.6,25.5,78,76,18,24.1,299.3,10,0.4
"Chennai,India",1008.3,29.5,25.6,78,77,18.4,24.1,321.9,10,1.5
"Chennai,India",1009.4,29.3,25.6,77,48,10.6,24.1,318,10,5.2
"Pune,India",1007.8,30.2,26.2,80,73,31.7,24.1,298.2,10,0
"Pune,India",1006,29.8,26.3,79,58,27.4,24.1,266.3,10,0
"Pune,India",1006.5,29.9,26.5,80,77,28.8,24.1,300.5,10,0.09
"Pune,India",1007.9,29.2,25.4,83,75,20.8,24.1,279.9,10,12.4
"Pune,India",1008.8,28.9,24.3,86,87,9.8,24.1,313.7,10,7.6
"Pune,India",1008.8,28.7,24.7,91,80,11.2,24.1,306.3,10,77.6
"Pune,India",1008.1,28.6,25.4,86,75,9.5,24.1,306.6,10,0.4
"Pune,India",1006.3,29.4,25.1,89,85,12.6,24.1,307.4,10,46.5
"Pune,India",1005.7,29.7,25.7,86,79,0,24.1,303.9,10,0.09
"Pune,India",1005.7,29.3,25.8,89,80,14.6,24.1,294.6,10,9.1
"Pune,India",1005.9,29.6,25.4,93,85,20,24.1,236,7,85.5
"Pune,India",1005.7,31,25.8,93,96,29.8,23.9,288.6,10,28.2
"Pune,India",1005,30.8,26.7,84,90,24.3,24,246,8,0.1
"Pune,India",1004.2,29.4,26.6,81,88,30,24.1,181.4,6,0.09
"Pune,India",1005.3,29.1,26.3,79,86,29.3,24.1,127.6,5,0.6
"Mumbai,India",1003.2,27.1,26,83,88,37.6,24.1,285.3,10,0.09
"Mumbai,India",1002.6,27.1,26.6,85,88,36.1,24.1,220.3,9,0.09
"Mumbai,India",1002.7,27.1,26.6,83,84,30.5,24.1,263.2,10,0
"Mumbai,India",1003.6,26.9,26.5,81,88,22.9,24.1,287.1,10,0.09
"Mumbai,India",1006.2,26.6,26.3,80,67,21.3,24.1,301.7,10,0.09
"Mumbai,India",1009.2,26.6,26,78,59,19.4,24.1,290.9,10,0.09
"Mumbai,India",1010,27,26,80,50,14.6,24.1,288.6,9,4.3
"Mumbai,India",1009.9,27.4,25.9,80,63,15.4,24.1,291,10,0
"Mumbai,India",1009.2,27.4,25.8,81,81,20.6,24.1,286.3,9,1.1
"Mumbai,India",1008.3,27.1,25.7,79,77,16.1,24.1,283,9,0.09
"Mumbai,India",1007,27.5,25.6,78,47,10.8,24.1,206.6,8,0.09
"Mumbai,India",1001.9,28.2,25.2,87,80,53.5,24.1,259.3,9,37.7
"Mumbai,India",1006.2,28.3,25.1,93,91,32,24.1,274.6,9,219.4
"Mumbai,India",1008.6,28.4,25.5,85,88,19.8,24.1,289.3,10,15.6
"Mumbai,India",1007.6,27.9,25.7,81,88,31.3,24.1,279,9,14.5
"Kolkata,India",1009.9,30.9,25.1,75,74,17.8,24.1,303.9,10,0
"Kolkata,India",1010.5,30.6,23.8,74,73,33.6,24.1,299.1,10,0.09
"Kolkata,India",1008.4,30.1,24.1,74,78,29.5,24.1,298.5,10,0.09
"Kolkata,India",1007.4,32.1,25.1,85,85,37.6,24.1,264.1,9,12.4
"Kolkata,India",1006.8,33.7,25.7,92,88,21.2,24.1,261.4,10,28.2
"Kolkata,India",1005,33.5,26,93,96,28.3,24.1,305.3,9,58.3
"Kolkata,India",1004.3,33,25.9,92,92,0,24.1,308.5,9,47.4
"Kolkata,India",1001,32.1,25.6,88,93,0,24.1,290.1,9,70.2
"Kolkata,India",999.1,31.3,24.4,79,86,0,24.1,308,9,4.8
"Kolkata,India",1000.4,30.6,23.6,69,69,12.8,24.1,289.5,9,0
"Kolkata,India",1002.4,30.7,21.4,59,54,14.6,24.1,300.4,9,0
"Kolkata,India",1002.4,32.3,25.2,88,89,17.8,24.1,305.3,9,39.6
"Kolkata,India",998.2,33.4,25.5,94,94,17.3,24.1,269.5,9,109.3
"Kolkata,India",998.3,33.1,23.5,82,89,14.7,24.1,266.5,9,1.3
"Kolkata,India",1001.8,32.2,22.6,76,86,18.4,24.1,313.3,9,0.2
